t,A0,C1,C2,scope,scenario,v_abs,v_el,v_distr
25.087424987644898,1.440257869196103e-8,1.232218339952178,0.22521005968336083,ode_,multiple_15,,,
25.250152621823354,9.072810790344687e-9,1.1126655217968382,0.239621526883802,ode_,multiple_15,,,
25.458394724322975,2.7548853603910328e-8,0.9776969776625534,0.25525755872682054,ode_,multiple_15,,,
25.68725871453076,1.5519165956306866e-7,0.8497313418665586,0.2692817331534172,ode_,multiple_15,,,
25.9026076705119,5.868698253378716e-7,0.746111160814991,0.2798844238766323,ode_,multiple_15,,,
26.094067006523932,1.0311267788849545e-6,0.6658095961384399,0.28749360024140164,ode_,multiple_15,,,
26.267872619219123,9.754475412198364e-7,0.6013536141460837,0.2931104123157943,ode_,multiple_15,,,
26.433958314698636,6.957274243711651e-7,0.5464102276832404,0.297466336724045,ode_,multiple_15,,,
26.59988757430649,4.933638721783884e-7,0.4973019901986929,0.3009434607076505,ode_,multiple_15,,,
26.769401596242005,3.9916823472768663e-7,0.45245845642639715,0.30369525159217653,ode_,multiple_15,,,
26.943125838455668,3.765026719934242e-7,0.41147529893046014,0.3057730342619763,ode_,multiple_15,,,
27.11975085654807,3.942743258444997e-7,0.3743943858083977,0.3072065109458363,ode_,multiple_15,,,
27.297385016329326,4.280817627621756e-7,0.34123833731186215,0.30804138874626363,ode_,multiple_15,,,
27.47460430945877,4.57939492154376e-7,0.31182331401579244,0.30834250718037476,ode_,multiple_15,,,
27.65083982997533,4.728954460471568e-7,0.2857879307347576,0.30818051868265955,ode_,multiple_15,,,
27.826205177084887,4.7328747753998925e-7,0.26270444168779467,0.30761958629355524,ode_,multiple_15,,,
28.00111505289384,4.659639474389831e-7,0.24217022508227928,0.30671284682774835,ode_,multiple_15,,,
28.175967160727122,4.57798363127009e-7,0.2238485195612254,0.305503803631929,ode_,multiple_15,,,
28.350988818064693,4.525358430623818e-7,0.2074698289557445,0.30402962790137633,ode_,multiple_15,,,
28.52622841112164,4.508630408047523e-7,0.19281563595996462,0.3023237088812749,ode_,multiple_15,,,
28.701622372294885,4.517022521472017e-7,0.17970061345191113,0.3004167250070363,ode_,multiple_15,,,
28.877075064447045,4.535015095756295e-7,0.16796038423708767,0.2983366562301636,ode_,multiple_15,,,
29.052513121554423,4.550679668291024e-7,0.1574456527906135,0.296108477581613,ode_,multiple_15,,,
29.227904615887873,4.5587448706054135e-7,0.14802051040502467,0.2937540434608398,ode_,multiple_15,,,
29.40325204428546,4.559579219447733e-7,0.13956238286764372,0.29129230448748,ode_,multiple_15,,,
29.5785746758917,4.556340583039577e-7,0.1319619679135996,0.2887397402931387,ode_,multiple_15,,,
29.753892574917252,4.552327798105048e-7,0.12512257066752588,0.2861108244088041,ode_,multiple_15,,,
29.929217979514746,4.5495489172437473e-7,0.11895891477165081,0.28341839453060225,ode_,multiple_15,,,
30.104554153132916,4.548536522719424e-7,0.11339573640261708,0.28067389057765096,ode_,multiple_15,,,
30.279898402146696,4.5488478356792595e-7,0.10836644535229993,0.27788749587786904,ode_,multiple_15,,,
30.455246035134728,4.5497139139602334e-7,0.10381198436839859,0.2750682325409701,ode_,multiple_15,,,
30.630593266320286,4.550514272816098e-7,0.09967990160990883,0.27222404972780834,ode_,multiple_15,,,
30.805938295748838,4.550953698041739e-7,0.09592359688955084,0.2693619241590405,ode_,multiple_15,,,
30.981281088610984,4.5510263740111216e-7,0.09250168306922703,0.2664879689217434,ode_,multiple_15,,,
31.15662255069138,4.550880815302218e-7,0.0893774234226348,0.26360754130104436,ode_,multiple_15,,,
31.33196368065759,4.550680800834508e-7,0.08651822406667443,0.26072534102784584,ode_,multiple_15,,,
31.50730515202856,4.5505367765967883e-7,0.08389517122848214,0.2578454921227592,ode_,multiple_15,,,
31.682647150604385,4.550479203200762e-7,0.08148261533802242,0.25497161196315726,ode_,multiple_15,,,
31.857989560261608,4.5504890361265055e-7,0.07925779769638154,0.2521068669778474,ode_,multiple_15,,,
32.033332148751036,4.5505281927874536e-7,0.0772005207030875,0.2492540216394988,ode_,multiple_15,,,
32.20867474188546,4.5505681114492503e-7,0.07529285644394774,0.24641548178246336,ode_,multiple_15,,,
32.3840172351526,4.5505916545811283e-7,0.07351889043237826,0.24359333538908767,ode_,multiple_15,,,
32.559359628552514,4.550598821933277e-7,0.0718644940695487,0.2407893883914182,ode_,multiple_15,,,
32.73470193369772,4.5505915175988844e-7,0.0703171239393391,0.23800519841755247,ode_,multiple_15,,,
